proprietaire_nom,proprietaire_adresse
LES GESTIONS LYAD INC. ,"1291 CH DE TOURAINE, BOUCHERVILLE (QC), J4B 5E4, A/S AUDREY BASTILLE"
PAVILLON ROCK FOREST INC. ,"30 RUE DES BRISES, SAINTE-JULIE (QC), J3E 2W9, A/S SYLVAIN FERLAND"
IMMEUBLES FGT INC. ,"3110 RUE DES AMETHYSTES, SHERBROOKE (QC), J1G4P9, A/S ROBERT THIFFAULT"
9408-2419 QUEBEC INC. ,"924 RUE LEONARDO-DA VINCI, SHERBROOKE (QC), J1R0S9"
9413-9433 QUEBEC INC. ,"103-9930 BOULEVARD BOURQUE, SHERBROOKE (QC), J1N0G2, A/S PIERRE-LUC MORIN"
SHERBROOKE IMMEUBLES VB INC. ,"100-4150 RUE LESAGE, SHERBROOKE (QC), J1L0B6, A/S DANNY BENNETT"
9524-1220 QUEBEC INC. ,"173 RUE ORCUTT, COATOCOOK (QC), J1A1X3"
FIDUCIE FAM ISABELLE DUPONT (2019) ,"314 PLACE CALIXA-LAVALLEE, GRANBY (QC), J2G 9J9"
1120 RUE JOGUES INC. ,"772 AV BLOOMFIELD, MONTREAL (QC), H2V 3S3"
LG2I INC. ,"15 RUE HAYNES, BROMONT (QC), J2L 0L8"
109467 CANADA INC. ,"1896 RUE ANNE-JULIEN, CARIGNAN (QC), J3L 3P9"
IMMEUBLES PATRICK DUFOUR INC. ,"400 RUE DES SARCELLES, SAINT-JEAN-SUR-RICHELIEU (QC), J2W 0H6"
LES RESIDENCES ALTERNATIVES DE L'ESTRIE ,"925 RUE DE L' ANCIENNE-CARRIERE, SHERBROOKE (QC), J1H0G1, A/S MICHEL GAUVIN"
ADMINISTRATION DRAKUL INC. ,"906B-1900 BOUL ANGRIGNON, LASALLE (QC), H8N0B9"
IMMEUBLES JDR INC. ,"82 RUE ELIZABETH, SOREL-TRACY (QC), J3P 4G5, A/S DAVID ROY"
IMMOBILIER SYLVERPEAK INC. / SYLVERPEAK REALITY INC. ,"302-6700 AV DU PARC, MONTRÉAL (QC), H2V 4H9"
GESTION COLU INC. ,"46 SUMMIT CRES, WESTMOUNT (QC), H3Y 1L3"
LES HABITATIONS CHALOUX S.E.N.C. ,"4427 RUE DU MONT-BLANC, ASCOT CORNER (QC), J0B 1A0"
9089-8412 QUEBEC INC. ,"990 RUE BOWEN S, SHERBROOKE (QC), J1G2G4, A/S JEAN-PIERRE GOUIN"
9366-5388 QUEBEC INC. ,"2297 RUE MARCOTTE, MAGOG (QC), J1X 5T7"
GESTION IMMO. I CHRISTIAN BOURQUE INC. ,"3246 RUE DES VIGNOBLES, SHERBROOKE (QC), J1N0H7, A/S CHRISTIAN BOURQUE"
9427-6946 QUEBEC INC. ,"102-288 RUE MARQUETTE, SHERBROOKE (QC), J1H1M3, A/S FRANCOIS PICARD"
KP CAPITAL IMMOBILIER II S.E.C. ,"223-55 RUE DE L'EGLISE, LONGUEUIL (QC), J4G 1H8"
9406-3062 QUEBEC INC ,"2297 RUE MARCOTTE, MAGOG (QC), J1X 5T7, A/S JONATHAN DUBOIS"
PLACEMENTS DB INC. ,"201 AV DES SCOUTS, MAGOG (QC), J1X 5W8, A/S SERGE BRABANT"
2757775 ONTARIO INC. ,"15 WINDING WAY, NEPEAN (ON), K2C 3H1"
GSK ENTREPRISES INC. ,"3077 RUE DU CHALUMEAU, SHERBROOKE (QC), J1G5K9, A/S GHISLAIN THIBAULT"
